#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sat Nov  8 15:27:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scanner_wrapper_map.ncd
#OUTPUT FILE:      scanner_wrapper_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A2,,IPAD,MGTRXP1_124,UNUSED,,,,,,,,,,,
A3,,IPAD,MGTRXN1_124,UNUSED,,,,,,,,,,,
A4,,IPAD,MGTRXN0_124,UNUSED,,,,,,,,,,,
A5,,IPAD,MGTRXP0_124,UNUSED,,,,,,,,,,,
A6,,,GND,,,,,,,,,,,,
A7,,,GND,,,,,,,,,,,,
A8,,IPAD,MGTRXP1_128,UNUSED,,,,,,,,,,,
A9,,IPAD,MGTRXN1_128,UNUSED,,,,,,,,,,,
A10,,IPAD,MGTRXN0_128,UNUSED,,,,,,,,,,,
A11,,IPAD,MGTRXP0_128,UNUSED,,,,,,,,,,,
A12,,,GND,,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,IPAD,MGTRXP1_132,UNUSED,,,,,,,,,,,
A15,,IPAD,MGTRXN1_132,UNUSED,,,,,,,,,,,
A16,,IPAD,MGTRXN0_132,UNUSED,,,,,,,,,,,
A17,,IPAD,MGTRXP0_132,UNUSED,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
A19,,,GND,,,,,,,,,,,,
A20,dpt_data_scn<204>,IOB,IO_L14P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
A21,dpt_data_scn<205>,IOB,IO_L14N_VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
A22,dpt_data_scn<199>,IOB,IO_L11N_CC_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
A23,,,GND,,,,,,,,,,,,
A24,,,GND,,,,,,,,,,,,
A25,,,GND,,,,,,,,,,,,
A26,,IPAD,MGTRXP0_131,UNUSED,,,,,,,,,,,
A27,,IPAD,MGTRXN0_131,UNUSED,,,,,,,,,,,
A28,,IPAD,MGTRXN1_131,UNUSED,,,,,,,,,,,
A29,,IPAD,MGTRXP1_131,UNUSED,,,,,,,,,,,
A30,,,GND,,,,,,,,,,,,
A31,,,GND,,,,,,,,,,,,
A32,,IPAD,MGTRXP0_127,UNUSED,,,,,,,,,,,
A33,,IPAD,MGTRXN0_127,UNUSED,,,,,,,,,,,
A34,,IPAD,MGTRXN1_127,UNUSED,,,,,,,,,,,
A35,,IPAD,MGTRXP1_127,UNUSED,,,,,,,,,,,
A36,,,GND,,,,,,,,,,,,
A37,,,GND,,,,,,,,,,,,
A38,,IPAD,MGTRXP0_123,UNUSED,,,,,,,,,,,
A39,,IPAD,MGTRXN0_123,UNUSED,,,,,,,,,,,
A40,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
A41,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
AA1,,,GND,,,,,,,,,,,,
AA2,,OPAD,MGTTXP1_112,UNUSED,,,,,,,,,,,
AA3,,,MGTAVTTTX_112,,,,,,,,,,,,
AA4,,,MGTAVTTRXC_R,,,,,,,,,,,,
AA5,,,GND,,,,,,,,,,,,
AA6,dpt_bvld_scn<28>,IOB,IO_L5N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AA7,dpt_bvld_scn<27>,IOB,IO_L5P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AA8,,,VCCO_12,,,12,,,,,2.50,,,,
AA9,dpt_bvld_scn<4>,IOB,IO_L3P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AA10,dpt_id_scn<24>,IOB,IO_L10N_CC_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AA11,scn_id_clt<24>,IOB,IO_L10P_CC_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AA12,,,VCCAUX,,,,,,,,2.5,,,,
AA13,,,GND,,,,,,,,,,,,
AA14,,,VCCINT,,,,,,,,1.0,,,,
AA15,,,GND,,,,,,,,,,,,
AA16,,,VCCINT,,,,,,,,1.0,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,,VCCINT,,,,,,,,1.0,,,,
AA19,,,GND,,,,,,,,,,,,
AA20,,,VCCINT,,,,,,,,1.0,,,,
AA21,,,VREFN_0,,,,,,,,,,,,
AA22,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
AA23,,,GND,,,,,,,,,,,,
AA24,,,VCCINT,,,,,,,,1.0,,,,
AA25,,,GND,,,,,,,,,,,,
AA26,,,VCCINT,,,,,,,,1.0,,,,
AA27,,,GND,,,,,,,,,,,,
AA28,,,VCCAUX,,,,,,,,2.5,,,,
AA29,,,GND,,,,,,,,,,,,
AA30,dpt_id_scn<31>,IOB,IO_L11P_CC_SM14P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
AA31,scn_id_clt<29>,IOB,IO_L11N_CC_SM14N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AA32,scn_id_clt<13>,IOB,IO_L6N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AA33,,,GND,,,,,,,,,,,,
AA34,dpt_id_scn<12>,IOB,IO_L17N_SM11N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
AA35,dpt_id_scn<29>,IOB,IO_L13P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
AA36,scn_cmd_clt<6>,IOB,IO_L4P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
AA37,dpt_cmd_scn<7>,IOB,IO_L2P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
AA38,,,GND,,,,,,,,,,,,
AA39,,,MGTAVTTRXC_L,,,,,,,,,,,,
AA40,,,MGTAVTTTX_111,,,,,,,,,,,,
AA41,,OPAD,MGTTXP1_111,UNUSED,,,,,,,,,,,
AA42,,,GND,,,,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,,OPAD,MGTTXP0_114,UNUSED,,,,,,,,,,,
AB3,,,GND,,,,,,,,,,,,
AB4,,,MGTRREF_112,,,,,,,,,,,,
AB5,,,GND,,,,,,,,,,,,
AB6,dpt_bvld_scn<19>,IOB,IO_L7P_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AB7,dpt_bvld_scn<24>,IOB,IO_L9N_CC_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AB8,dpt_id_scn<19>,IOB,IO_L9P_CC_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AB9,scn_id_clt<27>,IOB,IO_L12N_VRP_12,OUTPUT,LVCMOS25*,12,12,SLOW,,,,UNLOCATED,NO,NONE,
AB10,,,GND,,,,,,,,,,,,
AB11,dpt_bvld_scn<3>,IOB,IO_L18N_12,INPUT,LVCMOS25*,12,,,,NONE,,UNLOCATED,NO,NONE,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,VCCINT,,,,,,,,1.0,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
